Metacritic score,Positive,Negative,Recommendations,Price,Average playtime forever
62,589,212,427,23.99,67
64,349,134,285,9.99,44
53,1716,628,1140,19.99,324
84,698,203,815,3.99,83
89,9516,1114,8684,3.49,168
70,207,98,102,14.99,360
86,82902,3014,80467,24.99,3574
40,245,130,226,9.99,139
87,2108,111,1996,16.24,171
92,16788,1211,13997,9.99,1034
76,332,33,317,12.99,205
51,420,147,377,24.99,54
49,5,4,0,0.99,0
81,2113,125,1992,39.99,4495
69,646,544,604,0.69,283
72,900,126,735,29.99,411
68,770,316,751,29.99,205
52,671,404,798,14.99,446
82,293,73,311,4.99,138
59,98,32,111,6.99,0
77,1079,268,1011,19.99,395
59,110,69,133,19.99,32
79,7129,401,5577,19.99,1210
68,656,297,626,19.99,187
71,1845,231,1720,2.99,352
74,3087,1188,3237,24.99,426
69,128,20,0,12.99,103
73,2479,301,2533,19.99,669
68,544,83,435,14.99,117
70,43,6,0,14.99,0
87,13145,548,13204,9.99,477
76,117,4,109,9.99,46
84,4930,168,3986,9.99,256
87,28651,1554,22056,14.99,335
71,57,89,0,9.99,38
82,1239,132,1025,14.99,231
88,415524,66608,1000,0.0,6388
87,0,0,4553,29.99,956
47,26,16,0,9.99,75
81,3578,562,3026,19.99,869
75,146,77,0,4.99,163
66,421,86,134,9.99,0
76,843,93,842,19.99,360
76,104521,3859,87888,19.99,3335
50,143,94,138,9.99,0
63,1640,794,2021,0.0,593
67,6383,331,5432,9.99,196
68,190,156,235,4.99,72
81,4137,782,2679,0.0,1531
77,1783,300,1831,24.99,244
71,4293,3045,0,0.0,1130
84,154845,5667,127087,9.99,3044
77,8056,1593,7299,29.99,485
67,88,43,114,1.99,0
75,305,61,335,7.99,939
64,772,229,893,9.99,151
67,309,64,206,9.99,243
80,4796,269,4650,14.99,178
75,72,33,0,12.99,0
81,3756,285,3760,14.99,472
86,566,361,589,9.99,96
68,178,108,137,29.99,199
58,1740,743,1608,0.0,326
76,427,94,351,9.99,40
90,1157,57,850,29.99,48
73,672,236,595,24.99,246
67,89,16,0,15.99,732
71,86893,24106,99084,19.99,7583
73,1322,155,1141,9.99,365
73,207,83,133,9.99,91
71,314,116,362,1.99,385
74,1706,648,810,9.99,320
66,505,80,430,19.99,0
39,15,34,0,19.99,5
79,25040,3101,19554,5.99,1334
81,2114,125,615,9.99,134
87,12399,637,11988,24.99,649
80,7983,488,7786,14.99,296
70,295,289,500,19.99,29
70,290,105,280,5.99,365
74,2006,267,1250,0.0,126
73,3279,455,3170,24.99,443
82,172,5,139,14.99,0
78,22365,4000,11819,0.0,1242
88,179498,9339,134041,59.99,2160
67,2687,308,2031,9.99,151
78,206,11,154,19.99,0
87,2795,155,2386,14.99,301
80,2052,250,1612,19.99,1116
75,2403,91,2247,19.99,123
82,7108,733,7023,19.99,398
88,86228,3149,81724,29.99,943
55,280,322,0,9.99,123
80,1342,204,972,9.99,66
66,4748,2863,5205,9.99,193
62,40,28,0,9.99,0
63,114,64,0,14.99,70
85,39819,4369,265,0.0,1168
82,3613,260,3320,29.99,577
78,386,31,379,14.99,42
78,82246,14439,74596,14.99,2398
72,562,64,444,9.99,333
76,334,67,318,9.99,485
86,20216,1946,16949,19.99,601
79,1517,198,716,9.99,248
65,82,1,0,9.99,77
62,59,43,0,1.99,2053
69,465,143,493,4.99,114
76,1389,136,1184,19.99,319
76,4247,178,3747,9.99,630
62,8972,1327,8052,29.99,2148
91,216,63,266,9.99,30
68,240,76,241,14.99,51
83,51,19,0,5.99,0
51,1459,1255,2025,12.99,326
82,1269,172,1238,19.99,306
83,1525,296,1255,14.99,404
70,5338,1816,6158,24.99,293
69,385,60,343,24.99,0
49,1014,1003,1486,4.99,1774
83,2155,398,2135,14.99,373
82,5820,373,4968,19.99,485
57,181,81,152,9.99,177
88,4444,791,3033,24.99,302
80,2228,110,1786,29.99,450
81,10633,968,9311,19.99,3758
64,483,117,418,14.99,28
82,4701,419,4468,19.99,215
83,159,14,141,15.99,0
77,12657,4677,48664,0.0,0
84,91816,16451,76841,39.99,1364
51,114,102,0,9.99,229
72,914,92,545,14.99,129
63,359,30,358,14.99,433
73,4396,993,5135,14.99,1185
80,5507,447,2031,4.99,182
87,2001,95,1851,9.99,262
56,68,13,0,14.99,0
68,172,113,184,13.99,381
90,4666,123,3834,19.99,669
80,16439,1597,11604,9.99,732
80,35175,7255,38693,29.99,1433
58,42,19,0,9.99,0
70,1949,1016,2743,29.99,1091
44,1253,235,749,9.99,288
58,271,97,236,14.99,243
82,163,19,160,9.99,73
70,477,119,526,4.99,1869
82,8956,583,8329,9.99,273
71,3448,706,2922,24.99,683
74,203,106,238,15.99,0
75,20,11,0,14.99,0
69,586,223,518,9.99,253
82,4358,500,3807,29.99,2644
63,101,35,101,14.99,0
73,30838,2277,25067,59.99,2544
90,28981,914,23372,7.99,444
52,160,139,253,19.99,121
85,10056,441,8330,9.99,626
80,9336,1469,8413,59.99,2087
69,8083,626,7748,12.99,1129
64,556,177,506,2.99,23
86,3235,281,3282,5.99,206
81,2565,576,2776,12.99,257
77,12819,4747,48664,0.0,0
81,10,5,0,5.99,0
88,0,0,7859,54.99,189
80,34221,8389,33902,19.99,360
85,2181,202,1693,19.99,459
84,14973,1604,15153,17.99,2298
72,1166,254,1129,9.99,384
65,237,90,310,9.99,0
77,13036,4825,48664,0.0,0
81,1429,177,1420,4.99,55
71,13760,1495,13476,17.99,769
65,437,218,579,19.99,291
81,15124,2010,12290,19.99,2975
63,0,0,201,4.99,0
85,73932,1997,63781,9.99,430
78,520,168,468,14.99,151
85,27911,3700,23658,39.99,879
66,1106,240,1028,9.99,31
60,376,218,440,4.99,250
52,125,232,216,4.99,59
84,3839,341,3761,19.99,1602
77,16071,1516,5794,4.49,305
89,5091,83,4669,24.99,1651
70,3657,2383,1861,0.0,0
40,243,146,265,14.99,144
68,1914,616,1663,3.74,182
66,215,105,129,14.99,652
74,125,64,135,5.99,0
68,484,140,526,19.99,74
68,4483,563,4016,24.99,317
64,210,19,212,9.99,0
82,29072,1691,23616,19.99,819
83,1134,101,1079,23.99,251
63,995,339,0,0.0,4570
72,1351,407,1297,24.99,993
77,1315,190,1418,4.99,100
83,825,143,776,19.99,184
79,1100,159,1147,9.99,44
77,296,66,163,4.99,193
85,794,87,759,9.99,11
66,204,34,221,9.99,104
79,1514,66,1342,6.99,183
58,31,11,0,6.99,229
73,2889,971,3132,39.99,682
76,6244,351,5554,59.99,1687
80,12728,1551,11988,24.99,539
73,1216,393,1463,19.99,171
73,8753,2135,8242,9.99,684
61,102,38,0,14.99,244
79,5179,566,3246,4.99,1397
88,67259,7930,66343,19.99,845
83,1710,77,1647,39.99,943
82,242,72,277,2.99,1
75,440,95,379,9.99,1156
86,2515,101,2470,4.99,212
81,51303,6571,53867,19.99,256
60,30,26,0,9.99,0
61,53,36,0,9.99,0
73,81,7,0,9.99,38
77,218,9,210,6.99,0
87,1722,168,1158,5.99,85
59,21,2,0,19.99,0
72,304,64,328,14.99,138
81,5087,364,3931,4.99,248
88,107896,3869,98621,19.99,763
66,774,312,864,4.99,197
74,94,17,0,9.99,912
67,200,231,371,7.99,0
66,648,126,725,9.99,201
79,94,30,0,9.99,122
72,347,55,206,14.99,166
71,713,97,586,14.99,371
67,29,14,0,9.99,39
79,12239,3661,10527,9.99,651
76,3521,362,3507,11.99,796
73,2154,374,1825,15.99,1773
81,52931,5735,49662,44.99,1900
85,1353,118,1345,9.99,46
80,4916,1493,5626,29.99,353
78,394,31,318,14.99,87
67,1451,39,1299,9.99,272
82,5625,344,2910,13.99,208
81,1784,769,2258,39.99,315
66,67,26,0,24.99,0
62,588,219,544,29.99,50
75,154,17,119,19.99,0
79,4137,342,4143,11.24,2526
85,63907,1802,49717,14.99,472
66,0,0,295,19.99,0
74,5196,1012,5250,24.99,242
64,247,132,238,9.99,2956
59,498,161,412,12.99,159
88,5009,305,4335,9.99,480
81,1187,107,1148,19.99,344
79,1503,104,1288,19.99,124
74,831,92,727,19.99,458
66,177,109,237,3.99,35
71,159,139,169,5.99,62
81,27677,2821,26016,39.99,2676
69,70,37,0,4.99,58
83,58270,3235,40989,9.99,820
78,21676,4556,17760,39.99,5202
71,105,15,0,9.99,53
78,993,427,1265,19.99,102
80,118,71,175,9.99,0
73,560,118,632,9.99,1357
61,367,100,360,14.99,506
70,5287,914,4315,19.99,260
62,8334,2619,8972,59.99,781
70,1430,133,1237,19.99,758
71,1990,235,1665,14.99,289
66,362,225,326,4.99,118
68,676,139,658,0.54,179
78,827,177,715,14.99,80
65,3777,1236,2130,2.49,392
69,19655,1381,18990,14.99,8804
81,224,29,234,6.99,0
61,22,16,0,9.99,0
84,5673,183,5397,24.99,517
88,13831,1714,14201,19.99,1277
80,32454,2335,30495,19.99,1705
77,1988,77,1552,14.99,288
64,112,48,150,14.99,0
76,293,68,235,1.49,461
87,15787,298,13937,14.99,592
60,13796,2911,13620,14.99,332
78,2987,1758,0,0.0,1361
67,0,0,179,1.99,0
64,2805,829,2336,19.99,224
70,49,11,0,5.99,0
48,2035,1766,3186,0.0,198
82,1642,151,1631,29.99,252
66,133,64,165,24.99,22
82,159,14,141,19.99,0
57,149,64,0,19.99,315
67,755,322,1019,24.99,451
77,10785,4398,48665,0.0,0
73,851,361,626,1.49,1747
71,518,96,329,16.99,303
84,143,3,133,19.99,0
75,983,66,864,10.99,295
75,1112,505,1503,9.99,597
46,151,137,254,0.0,0
84,2750,492,3021,19.99,97
71,401,302,213,1.24,284
82,6293,246,5766,19.99,863
85,47784,5347,37679,59.99,4674
84,13115,1089,12696,24.99,557
53,14,3,0,3.99,0
77,106,11,0,1.99,0
70,29,14,0,7.99,0
74,1825,1001,1752,0.0,1625
89,2223,349,2406,9.99,183
72,411,143,0,0.0,293
72,268,65,230,0.59,8
87,5034,592,4608,14.99,901
23,506,2647,2630,0.99,5142
88,38103,2799,29563,19.99,1340
69,3529,1139,3670,24.99,350
83,5561,312,4896,29.99,849
66,23722,2090,22321,29.99,1465
73,101,36,0,19.99,0
69,8087,1564,9106,19.99,664
70,265,83,0,19.99,5
61,82,48,0,9.99,273
83,5424,495,4323,14.99,711
78,41669,6187,35193,24.99,1104
76,1047,282,990,9.99,170
80,3791,361,3074,9.99,189
79,1000,127,608,9.99,194
74,275,151,217,19.99,59
63,2956,880,3077,9.99,174
63,314,66,314,9.99,287
73,101,19,0,9.99,147
73,25589,2277,11568,14.99,824
73,450,20,367,9.99,239
89,498,44,439,19.99,1
44,128,67,175,4.99,78
70,1743,557,1346,9.99,201
75,222,475,567,39.99,10
70,461567,98701,435328,29.99,10660
64,377,198,511,2.99,24
70,456,92,501,59.99,0
67,1347,620,1155,29.99,36
56,271,68,244,0.0,153
73,4737,1972,4869,8.99,320
73,5403,1986,3320,59.99,864
70,274,77,257,24.99,44
66,223,88,227,0.0,338
77,95,7,0,9.99,3
68,90487,4099,77485,19.99,1908
77,11068,4489,48665,0.0,0
85,140,11,0,12.99,275
83,8202,352,7401,9.99,498
74,84,45,106,9.99,32
78,234,37,0,14.99,115
64,13,0,0,0.0,0
83,2670,67,2344,19.99,139
83,4091,205,2799,14.99,767
77,1653,292,1730,24.99,549
81,159,6,139,14.99,276
79,1881,259,1058,9.99,185
66,3159,729,2657,0.0,1126
79,9334,753,7296,9.99,1686
84,41718,3650,41372,19.99,813
90,5266,143,5097,24.99,260
51,9527,744,9311,7.99,106
65,37,45,0,9.99,0
77,474,40,454,14.99,225
69,3003,524,2505,9.99,175
87,5555,683,5439,4.99,342
63,140,59,128,19.99,267
47,1,18,0,9.99,0
73,77,34,0,4.99,297
77,535,106,466,8.99,84
70,4802,669,5073,19.99,932
87,10666,961,7905,0.0,1169
84,875,107,465,8.99,205
47,64,55,0,17.99,3
89,19141,936,15600,14.99,736
86,12902,3896,12170,14.99,175
80,802,467,981,7.99,25
55,721,334,794,14.99,350
86,15726,2734,34616,19.99,0
70,357,98,335,9.99,937
81,7594,2317,7954,39.99,1847
73,290,62,261,19.99,450
77,574,165,547,14.99,350
67,1954,1122,2420,0.0,115
80,23432,5601,20398,44.99,2855
74,5409,1062,4666,14.99,691
84,5186,317,4601,19.99,587
79,954,159,797,14.99,578
75,13293,2177,11703,9.99,1216
77,123,16,109,14.99,264
83,403109,77006,113688,0.0,9390
70,154914,73900,196597,39.99,7432
73,2252,628,1563,24.99,422
67,2553,324,1727,1.19,45
74,304,114,352,4.99,124
77,31246,14787,9088,0.0,575
83,73926,3145,52436,39.99,1306
78,5248,828,5265,5.99,566
77,1807,250,1564,14.99,172
66,13097,3523,790,0.0,5036
63,67,32,0,9.99,7
80,1810,293,1206,12.99,3782
68,430,199,241,1.24,134
86,1516,75,2534,9.99,492
80,121,14,106,0.99,135
68,129,36,0,4.99,208
62,340,118,359,0.99,0
82,35114,6709,203,0.0,922
81,2499,133,2194,19.49,106
57,69,32,0,14.99,0
81,17569,1552,11721,24.99,3389
66,294,56,248,4.99,389
78,1914,276,1408,19.99,481
71,223,30,167,14.99,72
76,2560,732,2823,9.99,211
68,578,70,585,19.99,169
79,195,21,149,14.99,509
75,212,41,206,9.99,25
47,328,490,436,14.99,218
49,197,143,111,12.99,357
88,22494,746,16772,2.99,215
69,27,8,0,14.99,0
65,28186,3913,22765,19.99,672
58,1397,585,1490,0.0,342
49,2320,1740,2993,0.0,413
81,314,66,339,9.99,0
70,1185,183,996,4.99,91
63,2015,383,271,19.99,102
80,10342,3568,11864,0.0,1906
65,6298,853,5969,9.99,136
55,25,16,0,2.99,197
89,25897,1211,24884,19.99,150
56,131,57,119,24.99,103
81,3183,1004,2268,29.99,244
72,178,35,172,9.99,126
76,23,2,0,9.99,0
78,191,27,129,14.99,9
79,8618,776,8365,19.96,413
79,2380,257,2110,6.99,1131
77,12734,4710,48667,0.0,0
53,26,28,0,14.99,17
79,307,51,255,19.99,304
69,23,39,0,9.99,0
75,6002,2140,5788,29.99,312
59,7525,1784,6370,9.99,325
77,6495,828,5184,9.99,938
78,13225,350,11216,9.99,1346
86,112,34,0,0.0,0
56,178,102,187,19.99,197
83,2368,925,2925,19.99,0
86,391643,129925,458744,59.99,3851
73,1282,44,1020,14.99,105
80,51168,4033,47384,39.99,677
81,1389,321,1275,19.99,386
81,856,81,914,14.99,11
66,109,58,152,12.99,9
77,7201,1763,6343,9.99,1032
71,1446,375,1536,19.99,216
74,27100,4790,14010,19.79,3727
65,5622,260,3393,1.99,149
75,2789,1391,3537,6.99,166
68,50,12,0,19.99,628
75,1133,184,721,9.99,70
64,2285,363,471,2.99,267
72,24,6,0,9.99,0
78,9369,799,7808,29.99,1033
58,87,89,144,14.99,0
67,7,3,0,0.99,0
62,24121,18879,24451,29.99,1217
73,759,222,829,4.99,206
71,1873,1014,2198,29.99,304
59,267,75,308,9.99,0
75,2052,928,2268,3.49,131
82,470,35,363,9.99,711
74,64,20,0,5.99,0
73,160,30,175,4.99,42
69,509,122,449,14.99,632
76,590,120,615,39.99,156
62,348,97,375,29.99,0
65,5845,2207,5885,19.99,386
78,4466,1169,3914,0.0,287
80,376,102,441,9.99,63
81,512,334,246,19.99,0
79,1125,16,941,19.99,178
73,1870,318,2006,19.99,2086
77,9440,10637,11465,39.99,752
73,111,20,113,9.99,0
78,11931,3069,10355,14.99,791
80,12978,559,10821,3.74,300
65,476,93,505,24.99,34
63,26,10,0,19.99,0
81,60018,2217,46868,9.99,210
86,33235,4652,20153,4.49,651
65,98,16,102,7.99,0
77,2296,389,1970,19.99,732
77,1585,726,1688,14.99,636
83,2368,925,2925,19.99,794
74,357,33,298,8.99,392
61,742,80,784,9.99,284
76,415,56,223,9.99,28
75,10395,2877,9117,19.99,1297
61,0,0,109,1.24,0
69,875,117,784,9.99,87
85,159063,7906,110132,19.99,902
63,1708,433,585,9.99,218
80,546,36,483,4.99,85
84,11436,593,11325,19.99,1603
72,1914,445,1776,9.99,262
68,18,12,0,9.99,0
77,22,2,0,9.99,0
77,3232,262,1578,14.99,1272
75,4263,1176,4383,9.99,297
77,45330,12669,37377,15.99,621
81,15759,539,15140,14.99,493
91,29473,9244,37105,59.99,4574
83,1914,563,1288,7.99,30
78,226,8,207,17.99,0
65,191,164,239,4.99,17
73,587,148,501,14.99,193
75,814,150,696,14.99,654
91,69864,7030,50466,19.99,2958
65,46,24,0,19.99,0
74,887,220,975,19.99,79
70,666,205,804,9.99,19
86,16047,3455,17081,0.0,534
70,80,29,0,7.99,0
74,1416,561,1418,12.99,171
68,16,15,0,0.0,0
83,4173,908,4542,8.99,360
63,929,356,942,19.99,155
81,8851,909,7985,7.49,400
68,6678,811,6797,7.99,196
76,1869,436,1501,9.99,169
78,3215,442,2896,14.99,733
60,105,63,123,9.99,0
80,1997,173,1760,29.99,177
76,500,68,291,6.99,227
78,130,31,0,9.99,28
69,1241,204,1057,9.99,228
61,181803,57094,186025,29.99,2544
77,11203,2330,10964,59.99,1375
64,1279,235,689,19.99,926
72,322,74,248,14.99,83
82,56197,1732,34692,14.99,651
58,110,136,210,2.39,9
76,153,75,197,29.99,125
80,4359,734,4615,7.49,435
59,84,39,0,9.99,136
80,799,242,552,9.99,73
65,30,7,0,6.99,22
52,467,367,580,14.99,250
74,176,69,0,9.99,55
68,2205,467,2203,15.99,555
69,67,63,104,14.99,29
81,1295,400,1294,29.99,2308
69,123,21,108,15.99,0
82,13433,681,13570,4.99,277
69,4697,1121,4488,9.99,201
91,1929,280,2091,9.99,293
67,60,3,0,4.99,0
82,367,27,357,14.99,0
70,79,21,0,6.99,0
75,5733,455,4603,14.99,225
69,355,24,353,9.99,14
65,19314,1871,15155,9.99,1523
76,3323,544,2487,19.99,261
80,769,86,713,19.99,106
80,135,9,0,4.49,0
75,2273,1281,2472,59.99,477
65,9528,2480,9802,5.99,279
69,113,40,112,9.99,0
87,93164,14604,74106,39.99,12350
70,417,180,340,19.99,31
78,2766,568,2987,11.99,715
79,2406,71,1521,19.99,482
65,129,61,110,9.99,291
83,2071,186,2073,7.99,582
70,274,168,336,29.99,839
69,923,229,913,4.99,112
74,4956,2125,5919,19.99,1248
50,2354,1050,3316,14.99,113
45,2077,569,2313,2.39,81
74,10220,1863,11467,19.99,1236
61,748,340,544,9.99,52
67,131,47,0,9.99,15
66,45,33,0,4.99,196
74,43,10,0,4.99,366
68,10539,1446,9512,9.99,1067
72,835,213,462,9.99,300
76,76,12,0,9.99,272
48,22,9,0,3.99,0
67,189,24,158,11.99,220
74,113659,10261,85803,14.99,1168
79,2835,713,3318,24.99,284
78,94,6,0,14.99,36
68,327,55,343,7.99,40
79,436,76,448,19.99,273
68,184,66,154,9.99,257
72,12934,4022,12819,7.99,671
80,781,73,562,29.99,811
79,10728,478,9965,19.99,189
85,1427,58,1274,5.99,4386
84,1592,153,969,12.99,684
66,19,16,0,14.99,0
84,12760,1082,12402,19.99,287
74,843,84,542,19.99,103
62,84,42,0,4.99,0
71,2083,329,867,24.99,567
94,293938,16035,179390,19.99,6458
77,8219,520,3681,9.99,179
81,1397,676,1544,19.99,371
73,23908,2465,21947,34.99,1763
77,3803,4058,7198,19.99,1339
83,243,70,289,14.99,192
58,32,35,0,19.99,0
61,171,46,153,9.99,100
81,26775,3988,23278,29.99,983
62,981,1261,2164,9.99,379
92,13620,799,11225,0.0,895
71,344,97,184,14.99,200
62,2038,147,1601,9.99,260
56,238,208,299,9.99,0
84,0,0,476,9.99,0
64,1053,187,976,2.99,139
74,3322,418,2766,9.99,117
80,2338,50,2107,29.99,2498
75,45,11,0,5.99,132
81,1200,402,1448,14.99,373
80,906,259,1090,39.99,214
73,1123,142,942,14.99,115
80,39,1,0,19.99,0
73,2370,937,2805,29.99,288
65,83,31,0,24.99,0
79,2379,819,2601,29.99,1214
65,9,14,0,4.99,0
53,14,5,0,9.99,0
27,1,49,0,0.0,0
65,14,10,0,13.99,0
49,65,56,0,6.99,354
81,2108,482,2213,9.99,191
66,5446,776,4561,16.99,309
39,246,176,257,4.99,957
68,16,2,0,1.99,0
73,2396,851,2821,34.99,632
76,109,22,119,11.99,0
69,137,51,143,9.99,0
62,215,130,302,14.99,93
79,208,22,0,2.99,117
69,8199,575,7363,14.99,214
76,61,39,0,0.0,159
75,3177,477,2171,19.99,228
66,543,125,457,9.99,1441
77,24247,8758,30308,29.99,1619
63,120,74,157,9.99,0
79,2900,156,2507,7.99,179
73,2014,182,331,0.0,233
64,483,73,455,19.99,192
66,82,32,0,14.99,0
65,156,93,0,19.99,193
66,284,93,168,14.99,586
75,454,92,409,19.99,135
77,1300,88,884,14.99,171
75,97,7,0,5.19,0
71,10774,234,9167,14.99,216
83,842,124,903,5.99,209
65,68,43,0,19.99,0
77,321,58,232,0.0,279
65,1033,300,1185,9.99,271
76,2888,563,2435,19.99,555
85,744,196,850,9.99,352
65,2244,743,2542,24.99,541
86,28536,4918,25204,59.99,4136
84,20095,1997,20343,10.99,517
74,6665,1409,6079,29.99,2758
66,500,127,377,9.99,439
88,6124,701,6235,14.99,270
75,3681,328,2672,1.49,192
83,2078,373,1052,3.99,307
60,1914,550,2145,19.99,609
80,27467,6544,144,0.0,755
90,178687,7165,113301,29.99,7009
80,1413,641,1867,19.99,425
69,29710,6880,31063,29.99,2787
77,18253,628,15655,19.99,675
67,12710,4334,10792,29.99,1017
84,1034,114,905,12.99,230
56,65,34,0,5.99,308
72,1802,188,1375,9.99,599
87,6550,371,4495,14.99,109
62,494,187,487,5.99,38
87,316493,16568,242718,29.99,2211
76,5052,840,2532,9.99,242
75,1692,255,1544,19.99,160
85,18710,1329,17367,9.99,1579
87,290,64,336,19.99,651
65,14,3,0,1.99,0
85,50838,1575,47236,9.99,343
84,7977,494,7412,20.99,1333
81,4463,431,3909,0.0,1227
87,1880,525,1992,39.99,197
85,10331,482,8446,14.99,192
70,3874,573,3553,14.99,259
66,130,72,0,7.49,88
58,73,19,0,1.74,1140
72,1311,426,1238,0.99,245
65,1206,517,1596,12.99,49
79,1878,105,1442,9.99,225
59,350,58,230,0.0,42
87,1979,340,1988,4.99,268
73,441,384,481,13.37,46
80,3093,244,2026,11.99,381
79,6973,1701,7529,19.99,1591
59,2498,1215,2367,24.99,349
68,700,91,583,14.99,241
38,127,321,344,9.99,20
68,4732,859,3675,49.99,365
51,17,12,0,5.49,0
78,30090,3933,25706,49.99,3750
67,74,79,144,29.99,0
90,134711,5726,113302,29.99,0
68,12885,1081,11530,19.99,1071
85,16481,1212,14866,14.99,845
72,41355,8243,35775,69.99,3051
84,24496,4056,21214,4.99,1120
78,6020,1835,6077,19.99,1132
49,78,75,0,14.99,38
77,3790,511,3292,9.99,605
90,1607,229,1764,2.49,283
75,4835,820,4839,14.99,466
53,101,34,0,19.99,56
50,15,39,0,14.99,0
85,67663,8557,65615,29.99,1284
77,757,169,505,0.0,75
73,537,279,682,19.99,43
58,95,27,122,9.99,154
94,2492,195,1991,19.99,314
75,6035,1112,5436,14.99,692
69,258,55,292,12.99,437
79,9997,3111,10527,9.99,0
80,12933,2135,14106,39.99,1924
81,4354,490,4563,29.99,612
74,366,53,396,17.99,372
84,1204,114,735,14.99,210
91,1966,26,1460,0.0,1740
88,20720,7059,7038,0.0,3328
67,88,26,0,11.99,0
73,597,50,487,24.99,258
86,1355,198,1974,9.99,0
89,1742,42,1679,6.99,192
59,492,205,311,9.99,291
84,19404,1415,17368,19.99,344
78,223,28,177,19.99,1
69,207,50,210,14.99,55
63,384,145,433,14.99,508
66,699,227,753,19.99,342
56,30,12,0,9.99,0
79,377,49,395,19.99,0
79,35056,3276,27486,19.99,979
68,378,149,413,29.99,250
78,65,5,0,4.99,0
85,127,33,0,9.99,338
77,1256,197,704,19.99,132
84,738,224,484,34.99,117
71,643,634,323,8.99,75
