ID,Nombre,Desarrolladora,Publicadora,V. Positiva,V. Negativa,Propietarios,Precio,Lenguajes,Genero,Media simultaneo
570,Dota 2,Valve,Valve,1659573,355797,"200,000,000 .. 500,000,000",0.0,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Free to Play, Strategy",524317
221100,DayZ,Bohemia Interactive,Bohemia Interactive,260025,92525,"5,000,000 .. 10,000,000",44.99,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil","Action, Adventure, Massively Multiplayer",49312
230410,Warframe,Digital Extremes,Digital Extremes,469875,73740,"20,000,000 .. 50,000,000",0.0,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian","Action, Free to Play, RPG",44354
252490,Rust,Facepunch Studios,Facepunch Studios,824082,123399,"20,000,000 .. 50,000,000",39.99,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese","Action, Adventure, Indie, Massively Multiplayer, RPG",124008
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,1360117,223755,"50,000,000 .. 100,000,000",15.2,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese, Simplified Chinese, Spanish - Latin America","Action, Adventure",159766
323190,Frostpunk,11 bit studios,11 bit studios,85444,7475,"2,000,000 .. 5,000,000",5.99,"English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish, Italian, Japanese, Korean","Simulation, Strategy",2870
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,541254,134983,"10,000,000 .. 20,000,000",7.99,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish",Action,39494
526870,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,131899,3939,"5,000,000 .. 10,000,000",29.99,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian, Vietnamese","Adventure, Indie, Simulation, Strategy, Early Access",14795
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",1260926,939005,"50,000,000 .. 100,000,000",0.0,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian","Action, Adventure, Free to Play, Massively Multiplayer",292875
582660,Black Desert,Pearl Abyss,Pearl Abyss,52347,17579,"5,000,000 .. 10,000,000",9.99,"English, French, German, Spanish - Spain, Japanese, Russian, Thai, Turkish, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America","Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",29906
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,60173,7432,"2,000,000 .. 5,000,000",59.99,"English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Italian, Spanish - Latin America, Traditional Chinese, Ukrainian","Adventure, RPG, Strategy, Early Access",19743
1144200,Ready or Not,VOID Interactive,VOID Interactive,103180,10072,"2,000,000 .. 5,000,000",39.99,"English, French, German, Czech, Korean, Simplified Chinese","Action, Adventure, Indie, Early Access",5349
1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,125742,65451,"10,000,000 .. 20,000,000",0.0,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Spanish - Spain, Russian, Turkish, Portuguese - Portugal, Vietnamese, Thai","Action, Adventure, Massively Multiplayer",192346
1217060,Gunfire Reborn,Duoyi Games,Duoyi Games,82851,5409,"2,000,000 .. 5,000,000",19.99,"English, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Spanish - Spain, German, Russian, Japanese, Portuguese - Portugal, Portuguese - Brazil, Thai, Vietnamese, Korean, French, Italian, Turkish, Polish, Indonesian","Action, Adventure, Indie, RPG",4292
1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",636852,55198,"20,000,000 .. 50,000,000",59.99,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese","Action, RPG",39123
1259420,Days Gone,Bend Studio,PlayStation PC LLC,59690,4640,"2,000,000 .. 5,000,000",49.99,"English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Portugal, Portuguese - Brazil, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Norwegian, Polish, Russian, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Japanese","Action, Adventure",2921
1293830,Forza Horizon 4,Playground Games,Xbox Game Studios,168343,20609,"2,000,000 .. 5,000,000",59.99,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",Racing,8344
1551360,Forza Horizon 5,Playground Games,Xbox Game Studios,113851,15424,"2,000,000 .. 5,000,000",59.99,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish","Action, Adventure, Racing, Simulation, Sports",16158
1593500,God of War,Santa Monica Studio,PlayStation PC LLC,103155,3297,"2,000,000 .. 5,000,000",49.99,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Turkish, Traditional Chinese, Czech, Hungarian, Greek","Action, Adventure, RPG",2730
1817070,Marvelâ€™s Spider-Man Remastered,"Insomniac Games, Nixxes Software",PlayStation PC LLC,69230,2496,"2,000,000 .. 5,000,000",59.99,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Swedish, Traditional Chinese","Action, Adventure, Casual",4916
